Half,Time,Davidson,Charlotte,Davidson Score,Charlotte Score
1,19:34,"MISS 3PTR by SKOGMAN,DAVID",,0,0
1,19:31,,"REBOUND DEF by THREADGILL,JACKSON",0,0
1,19:14,,"MISS LAYUP by THREADGILL,JACKSON",0,0
1,19:12,"REBOUND DEF by SKOGMAN,DAVID",,0,0
1,18:58,"MISS LAYUP by SKOGMAN,DAVID",,0,0
1,18:55,,"REBOUND DEF by JACKSON,DISHON",0,0
1,18:34,,"GOOD 3PTR by PATTERSON,LU'CYE",0,3
1,18:34,,"ASSIST by GRAVES,NIK",0,3
1,17:58,"MISS JUMPER by HUFFMAN,GRANT",,0,3
1,17:55,,"REBOUND DEF by GRAVES,NIK",0,3
1,17:42,,"GOOD JUMPER by THREADGILL,JACKSON",0,5
1,17:20,"MISS LAYUP by BAILEY,REED",,0,5
1,17:18,,"REBOUND DEF by MILICIC JR.,IGOR",0,5
1,17:05,,"GOOD JUMPER by PATTERSON,LU'CYE",0,7
1,16:49,"MISS 3PTR by BRIZZI,ANGELO",,0,7
1,16:45,,"REBOUND DEF by THREADGILL,JACKSON",0,7
1,16:39,,"GOOD DUNK by JACKSON,DISHON",0,9
1,16:39,,"ASSIST by THREADGILL,JACKSON",0,9
1,16:39,Timeout,,0,9
1,16:39,"SUB OUT by BRIZZI,ANGELO",,0,9
1,16:39,"SUB OUT by SKOGMAN,DAVID",,0,9
1,16:39,"SUB IN by DURKIN,BOBBY",,0,9
1,16:39,"SUB IN by LOGAN,SEAN",,0,9
1,16:23,"TURNOVER by HUFFMAN,GRANT",,0,9
1,16:23,,"STEAL by JACKSON,DISHON",0,9
1,16:10,,"GOOD LAYUP by JACKSON,DISHON",0,11
1,15:51,"GOOD 3PTR by KOCHERA,CONNOR",,3,11
1,15:51,"ASSIST by HUFFMAN,GRANT",,3,11
1,15:35,,"TURNOVER by MILICIC JR.,IGOR",3,11
1,15:35,"STEAL by DURKIN,BOBBY",,3,11
1,15:22,"GOOD 3PTR by KOCHERA,CONNOR",,6,11
1,15:22,"ASSIST by HUFFMAN,GRANT",,6,11
1,15:01,,"GOOD JUMPER by PATTERSON,LU'CYE",6,13
1,14:50,Timeout,,6,13
1,14:50,,"SUB OUT by JACKSON,DISHON",6,13
1,14:50,,"SUB IN by REIBER,DEAN",6,13
1,14:39,,"FOUL by PATTERSON,LU'CYE",6,13
1,14:25,"GOOD LAYUP by BAILEY,REED",,8,13
1,14:25,"ASSIST by HUFFMAN,GRANT",,8,13
1,14:08,,"GOOD 3PTR by THREADGILL,JACKSON",8,16
1,14:08,,"ASSIST by MILICIC JR.,IGOR",8,16
1,13:54,"GOOD LAYUP by HUFFMAN,GRANT",,10,16
1,13:36,,"SUB OUT by GRAVES,NIK",10,16
1,13:36,,"SUB IN by FOLKES,ISAIAH",10,16
1,13:22,,"GOOD LAYUP by FOLKES,ISAIAH",10,18
1,13:08,"TURNOVER by KOCHERA,CONNOR",,10,18
1,13:08,,"STEAL by FOLKES,ISAIAH",10,18
1,13:08,"SUB OUT by BAILEY,REED",,10,18
1,13:08,"SUB OUT by HUFFMAN,GRANT",,10,18
1,13:08,"SUB IN by BRIZZI,ANGELO",,10,18
1,13:08,"SUB IN by SKOGMAN,DAVID",,10,18
1,12:53,,"MISS 3PTR by REIBER,DEAN",10,18
1,12:49,"REBOUND DEF by BRIZZI,ANGELO",,10,18
1,12:33,"GOOD 3PTR by DURKIN,BOBBY",,13,18
1,12:33,"ASSIST by BRIZZI,ANGELO",,13,18
1,12:11,,"GOOD DUNK by MILICIC JR.,IGOR",13,20
1,11:47,"MISS 3PTR by DURKIN,BOBBY",,13,20
1,11:45,,"REBOUND DEF by FOLKES,ISAIAH",13,20
1,11:25,,"MISS 3PTR by PATTERSON,LU'CYE",13,20
1,11:20,"REBOUND DEF by DURKIN,BOBBY",,13,20
1,10:57,"MISS LAYUP by KOCHERA,CONNOR",,13,20
1,10:57,,"BLOCK by MILICIC JR.,IGOR",13,20
1,10:53,"REBOUND OFF by SKOGMAN,DAVID",,13,20
1,10:52,"GOOD LAYUP by SKOGMAN,DAVID",,15,20
1,10:44,"FOUL by LOGAN,SEAN",,15,20
1,10:44,Timeout,,15,20
1,10:44,,"SUB OUT by FOLKES,ISAIAH",15,20
1,10:44,,"SUB OUT by THREADGILL,JACKSON",15,20
1,10:44,,"SUB OUT by MILICIC JR.,IGOR",15,20
1,10:44,,"SUB IN by JACKSON,DISHON",15,20
1,10:44,,"SUB IN by GRAVES,NIK",15,20
1,10:44,,"SUB IN by BRASWELL,ROBERT",15,20
1,10:44,"SUB OUT by LOGAN,SEAN",,15,20
1,10:44,"SUB OUT by KOCHERA,CONNOR",,15,20
1,10:44,"SUB IN by HUFFMAN,GRANT",,15,20
1,10:44,"SUB IN by ADAM,HUNTER",,15,20
1,10:44,,"MISS FT by PATTERSON,LU'CYE",15,20
1,10:44,,REBOUND DEADB by TEAM,15,20
1,10:44,,"GOOD FT by PATTERSON,LU'CYE",15,21
1,10:44,,"SUB OUT by PATTERSON,LU'CYE",15,21
1,10:44,,"SUB IN by BERRY,DAYLEN",15,21
1,10:25,"MISS 3PTR by BRIZZI,ANGELO",,15,21
1,10:22,REBOUND DEADB by TEAM,,15,21
1,10:16,"GOOD 3PTR by SKOGMAN,DAVID",,18,21
1,10:16,"ASSIST by HUFFMAN,GRANT",,18,21
1,09:41,,"MISS 3PTR by GRAVES,NIK",18,21
1,09:38,"REBOUND DEF by SKOGMAN,DAVID",,18,21
1,09:30,"MISS 3PTR by SKOGMAN,DAVID",,18,21
1,09:26,,"REBOUND DEF by JACKSON,DISHON",18,21
1,08:59,,"MISS 3PTR by BERRY,DAYLEN",18,21
1,08:57,"REBOUND DEF by BRIZZI,ANGELO",,18,21
1,08:50,"MISS LAYUP by BRIZZI,ANGELO",,18,21
1,08:47,,"REBOUND DEF by REIBER,DEAN",18,21
1,08:40,,"GOOD JUMPER by GRAVES,NIK",18,23
1,08:34,,"FOUL by JACKSON,DISHON",18,23
1,08:34,,"SUB OUT by REIBER,DEAN",18,23
1,08:34,,"SUB IN by MILICIC JR.,IGOR",18,23
1,08:34,"SUB OUT by BRIZZI,ANGELO",,18,23
1,08:34,"SUB IN by SPADONE,ACHILE",,18,23
1,08:24,"GOOD LAYUP by SKOGMAN,DAVID",,20,23
1,08:24,"ASSIST by HUFFMAN,GRANT",,20,23
1,08:00,,"MISS 3PTR by BRASWELL,ROBERT",20,23
1,07:58,REBOUND DEADB by TEAM,,20,23
1,07:58,Timeout,,20,23
1,07:45,"GOOD DUNK by SKOGMAN,DAVID",,22,23
1,07:45,"ASSIST by DURKIN,BOBBY",,22,23
1,07:12,,"TURNOVER by MILICIC JR.,IGOR",22,23
1,06:54,"MISS 3PTR by DURKIN,BOBBY",,22,23
1,06:51,,"REBOUND DEF by JACKSON,DISHON",22,23
