half,minutes,seconds,play_type,team,first_name,last_name,davidson_score,opponent_score
1,19,34,MISS 3PTR,Davidson,SKOGMAN,DAVID,0,0
1,19,31,REBOUND DEF,Charlotte,THREADGILL,JACKSON,0,0
1,19,14,MISS LAYUP,Charlotte,THREADGILL,JACKSON,0,0
1,19,12,REBOUND DEF,Davidson,SKOGMAN,DAVID,0,0
1,18,58,MISS LAYUP,Davidson,SKOGMAN,DAVID,0,0
1,18,55,REBOUND DEF,Charlotte,JACKSON,DISHON,0,0
1,18,34,GOOD 3PTR,Charlotte,PATTERSON,LU'CYE,0,3
1,18,34,ASSIST,Charlotte,GRAVES,NIK,0,3
1,17,58,MISS JUMPER,Davidson,HUFFMAN,GRANT,0,3
1,17,55,REBOUND DEF,Charlotte,GRAVES,NIK,0,3
1,17,42,GOOD JUMPER,Charlotte,THREADGILL,JACKSON,0,5
1,17,20,MISS LAYUP,Davidson,BAILEY,REED,0,5
1,17,18,REBOUND DEF,Charlotte,MILICIC JR.,IGOR,0,5
1,17,5,GOOD JUMPER,Charlotte,PATTERSON,LU'CYE,0,7
1,16,49,MISS 3PTR,Davidson,BRIZZI,ANGELO,0,7
1,16,45,REBOUND DEF,Charlotte,THREADGILL,JACKSON,0,7
1,16,39,GOOD DUNK,Charlotte,JACKSON,DISHON,0,9
1,16,39,ASSIST,Charlotte,THREADGILL,JACKSON,0,9
1,16,39,Timeout,Davidson,,,0,9
1,16,39,SUB OUT,Davidson,BRIZZI,ANGELO,0,9
1,16,39,SUB OUT,Davidson,SKOGMAN,DAVID,0,9
1,16,39,SUB IN,Davidson,DURKIN,BOBBY,0,9
1,16,39,SUB IN,Davidson,LOGAN,SEAN,0,9
1,16,23,TURNOVER,Davidson,HUFFMAN,GRANT,0,9
1,16,23,STEAL,Charlotte,JACKSON,DISHON,0,9
1,16,10,GOOD LAYUP,Charlotte,JACKSON,DISHON,0,11
1,15,51,GOOD 3PTR,Davidson,KOCHERA,CONNOR,3,11
1,15,51,ASSIST,Davidson,HUFFMAN,GRANT,3,11
1,15,35,TURNOVER,Charlotte,MILICIC JR.,IGOR,3,11
1,15,35,STEAL,Davidson,DURKIN,BOBBY,3,11
1,15,22,GOOD 3PTR,Davidson,KOCHERA,CONNOR,6,11
1,15,22,ASSIST,Davidson,HUFFMAN,GRANT,6,11
1,15,1,GOOD JUMPER,Charlotte,PATTERSON,LU'CYE,6,13
1,14,50,Timeout,Davidson,,,6,13
1,14,50,SUB OUT,Charlotte,JACKSON,DISHON,6,13
1,14,50,SUB IN,Charlotte,REIBER,DEAN,6,13
