Half,Time,William Peace,Davidson,William Peace Score,Davidson Score
1,19:44,,"MISS JUMPER by BAILEY,REED",0,0
1,19:35,"REBOUND DEF by GREEN,ELIJAH",,0,0
1,19:21,"TURNOVER by DULIN,MICHAEL",,0,0
1,19:21,,"STEAL by LOGAN,SEAN",0,0
1,19:14,"FOUL by JONES,SHAWN",,0,0
1,19:14,,"GOOD FT by KOCHERA,CONNOR",0,1
1,19:14,,"GOOD FT by KOCHERA,CONNOR",0,2
1,19:01,"GOOD 3PTR by DULIN,MICHAEL",,3,2
1,19:01,"ASSIST by GREEN,ELIJAH",,3,2
1,18:37,"FOUL by GREEN,ELIJAH",,3,2
1,18:31,,"GOOD 3PTR by KOCHERA,CONNOR",3,5
1,18:31,,"ASSIST by LOGAN,SEAN",3,5
1,18:04,"MISS 3PTR by DULIN,MICHAEL",,3,5
1,18:00,,"REBOUND DEF by LOUGHNANE,MIKE",3,5
1,17:57,,"GOOD LAYUP by BAILEY,REED",3,7
1,17:57,,"ASSIST by LOUGHNANE,MIKE",3,7
1,17:29,"TURNOVER by JONES,SHAWN",,3,7
1,17:29,,"STEAL by KOCHERA,CONNOR",3,7
1,17:13,,"TURNOVER by KOCHERA,CONNOR",3,7
1,17:13,"STEAL by GREEN,ELIJAH",,3,7
1,17:07,"MISS 3PTR by GREEN,ELIJAH",,3,7
1,17:03,,"REBOUND DEF by DURKIN,BOBBY",3,7
1,16:55,,"FOUL by LOGAN,SEAN",3,7
1,16:55,,"TURNOVER by LOGAN,SEAN",3,7
1,16:54,,"SUB OUT by LOGAN,SEAN",3,7
1,16:54,,"SUB IN by ADAM,HUNTER",3,7
1,16:54,"SUB OUT by JONES,SHAWN",,3,7
1,16:54,"SUB OUT by GREEN,ELIJAH",,3,7
1,16:54,"SUB OUT by CARUSO,SULLY",,3,7
1,16:54,"SUB IN by MCBRIDE,DYLAN",,3,7
1,16:54,"SUB IN by YOUNG,IRWIN",,3,7
1,16:54,"SUB IN by EZEONU,CHUKS",,3,7
1,16:29,"TURNOVER by MCBRIDE,DYLAN",,3,7
1,16:29,,"SUB OUT by DURKIN,BOBBY",3,7
1,16:29,,"SUB OUT by LOUGHNANE,MIKE",3,7
1,16:29,,"SUB IN by LAPUT,ZACH",3,7
1,16:29,,"SUB IN by BLUMS,ROBERTS",3,7
1,16:29,"SUB OUT by LOMINACK,RYAN",,3,7
1,16:29,"SUB IN by WHITEHURST,TYLER",,3,7
1,16:08,,"GOOD JUMPER by BAILEY,REED",3,9
1,16:02,"MISS 3PTR by WHITEHURST,TYLER",,3,9
1,16:02,,"BLOCK by ADAM,HUNTER",3,9
1,16:02,REBOUND OFF by TEAM,,3,9
1,16:02,"FOUL by EZEONU,CHUKS",,3,9
1,16:02,"TURNOVER by EZEONU,CHUKS",,3,9
1,15:55,,"GOOD LAYUP by KOCHERA,CONNOR",3,11
1,15:26,,"FOUL by ADAM,HUNTER",3,11
1,15:26,Timeout,,3,11
1,15:26,"SUB OUT by DULIN,MICHAEL",,3,11
1,15:26,"SUB IN by HODGSON,PARKER",,3,11
1,15:26,"MISS FT by EZEONU,CHUKS",,3,11
1,15:26,REBOUND DEADB by TEAM,,3,11
1,15:26,"GOOD FT by EZEONU,CHUKS",,4,11
1,15:12,"FOUL by MCBRIDE,DYLAN",,4,11
1,15:03,,"MISS LAYUP by KOCHERA,CONNOR",4,11
1,14:59,,"REBOUND OFF by BAILEY,REED",4,11
1,14:59,,"GOOD TIPIN by BAILEY,REED",4,13
1,14:29,"MISS JUMPER by HODGSON,PARKER",,4,13
1,14:25,,"REBOUND DEF by BAILEY,REED",4,13
1,14:21,,"MISS 3PTR by BLUMS,ROBERTS",4,13
1,14:16,"REBOUND DEF by HODGSON,PARKER",,4,13
1,14:03,"MISS LAYUP by HODGSON,PARKER",,4,13
1,14:00,,"REBOUND DEF by LAPUT,ZACH",4,13
1,13:57,,"GOOD LAYUP by LAPUT,ZACH",4,15
1,13:40,"MISS JUMPER by YOUNG,IRWIN",,4,15
1,13:36,,"REBOUND DEF by KOCHERA,CONNOR",4,15
1,13:26,,"MISS LAYUP by BLUMS,ROBERTS",4,15
1,13:23,"REBOUND DEF by EZEONU,CHUKS",,4,15
1,13:19,"MISS 3PTR by WHITEHURST,TYLER",,4,15
1,13:14,,"REBOUND DEF by KOCHERA,CONNOR",4,15
1,13:03,,"MISS 3PTR by ADAM,HUNTER",4,15
1,12:58,,"REBOUND OFF by BAILEY,REED",4,15
1,12:56,"FOUL by WHITEHURST,TYLER",,4,15
1,12:56,,"GOOD FT by KOCHERA,CONNOR",4,16
1,12:56,,"SUB OUT by BAILEY,REED",4,16
1,12:56,,"SUB OUT by ADAM,HUNTER",4,16
1,12:56,,"SUB IN by JOSES,MANIE",4,16
1,12:56,,"SUB IN by LOGAN,SEAN",4,16
1,12:56,"SUB OUT by WHITEHURST,TYLER",,4,16
1,12:56,"SUB OUT by MCBRIDE,DYLAN",,4,16
1,12:56,"SUB OUT by YOUNG,IRWIN",,4,16
1,12:56,"SUB OUT by EZEONU,CHUKS",,4,16
1,12:56,"SUB IN by GREEN,ELIJAH",,4,16
1,12:56,"SUB IN by LOMINACK,RYAN",,4,16
